ago-07;100791;151952;Espanya
jul-07;168613;245745;Espanya
jun-07;167880;241504;Espanya
may-07;155402;226710;Espanya
abr-07;123825;180420;Espanya
mar-07;175327;244679;Espanya
feb-07;123327;172389;Espanya
ene-07;125985;180704;Espanya
dic-06;136723;186483;Espanya
nov-06;135142;193676;Espanya
oct-06;128183;186335;Espanya
sep-06;107482;158949;Espanya
ago-06;105193;158198;Espanya
jul-06;169038;240910;Espanya
jun-06;171030;246788;Espanya
may-06;155806;224820;Espanya
abr-06;131635;187706;Espanya
mar-06;176081;243927;Espanya
feb-06;128836;178150;Espanya
ene-06;115493;158712;Espanya
dic-05;143424;195556;Espanya
nov-05;132626;187756;Espanya
oct-05;119665;169427;Espanya
sep-05;114827;164814;Espanya
ago-05;107726;155539;Espanya
jul-05;175905;242255;Espanya
jun-05;173667;241050;Espanya
may-05;153564;213194;Espanya
abr-05;146986;204907;Espanya
mar-05;162062;213865;Espanya
feb-05;130879;173666;Espanya
ene-05;115401;157572;Espanya
dic-04;142275;186451;Espanya
nov-04;136872;186150;Espanya
oct-04;130876;175769;Espanya
sep-04;108922;145506;Espanya
ago-04;98511;130356;Espanya
jul-04;181139;229871;Espanya
jun-04;170873;219060;Espanya
may-04;142301;184112;Espanya
abr-04;136518;176081;Espanya
mar-04;166070;208768;Espanya
feb-04;130631;165838;Espanya
ene-04;108820;141793;Espanya
dic-03;136793;170515;Espanya
nov-03;120521;154787;Espanya
oct-03;132598;171837;Espanya
sep-03;101615;130871;Espanya
ago-03;90285;116655;Espanya
jul-03;171457;215246;Espanya
jun-03;146821;185416;Espanya
may-03;128313;164978;Espanya
abr-03;127892;162402;Espanya
mar-03;128593;163253;Espanya
feb-03;101742;130021;Espanya
ene-03;98425;128263;Espanya
dic-02;120283;149050;Espanya
nov-02;103819;134123;Espanya
oct-02;118921;153142;Espanya
sep-02;86396;110746;Espanya
ago-02;84750;108499;Espanya
jul-02;159629;194877;Espanya
jun-02;130949;163382;Espanya
may-02;134450;169322;Espanya
abr-02;119320;150958;Espanya
mar-02;119562;146156;Espanya
feb-02;110766;137683;Espanya
ene-02;100564;128098;Espanya
dic-01;111116;138901;Espanya
nov-01;113488;144391;Espanya
oct-01;118303;150669;Espanya
sep-01;88246;112856;Espanya
ago-01;93625;118300;Espanya
jul-01;168514;204748;Espanya
